iter	Passed	Remaining
403	8783	12958
404	8822	12961
405	8857	12959
406	8892	12956
407	8932	12960
408	8964	12953
409	8988	12933
410	9022	12930
411	9032	12891
412	9057	12873
413	9080	12852
414	9102	12831
415	9126	12812
416	9137	12774
417	9157	12750
418	9181	12731
419	9205	12712
420	9227	12690
421	9249	12668
422	9272	12648
423	9290	12620
424	9311	12598
425	9335	12578
426	9356	12555
427	9377	12532
428	9382	12488
429	9405	12467
430	9425	12444
431	9449	12423
432	9471	12402
433	9492	12378
434	9515	12359
435	9536	12336
436	9559	12315
437	9580	12292
438	9594	12260
439	9616	12239
440	9639	12218
441	9650	12183
442	9671	12159
443	9694	12140
444	9732	12138
445	9755	12117
446	9777	12095
447	9798	12072
448	9820	12051
449	9841	12028
450	9865	12008
451	9888	11988
452	9911	11968
453	9932	11945
454	9954	11923
455	9976	11902
456	9999	11881
457	10024	11863
458	10046	11841
459	10068	11819
460	10089	11796
461	10111	11774
462	10133	11753
463	10155	11731
464	10178	11710
465	10204	11693
466	10233	11680
467	10258	11661
468	10279	11638
469	10301	11616
470	10324	11595
471	10348	11576
472	10370	11554
473	10378	11516
474	10400	11495
475	10425	11477
476	10449	11456
477	10470	11434
478	10492	11412
479	10514	11390
480	10529	11361
481	10585	11376
482	10634	11383
483	10680	11386
484	10727	11390
485	10793	11415
486	10821	11398
487	10845	11378
488	10866	11355
489	10887	11332
490	10908	11308
491	10931	11286
492	10952	11263
493	10969	11236
494	10991	11213
495	11013	11190
496	11036	11169
497	11057	11146
498	11079	11124
499	11104	11104
500	11127	11082
501	11150	11061
502	11171	11038
503	11194	11016
504	11216	10994
505	11242	10975
506	11270	10959
507	11294	10938
508	11316	10916
509	11339	10894
510	11361	10872
511	11386	10852
512	11408	10829
513	11431	10808
514	11461	10793
515	11487	10775
516	11509	10752
517	11530	10729
518	11551	10706
519	11575	10684
520	11595	10661
521	11617	10637
522	11640	10616
523	11661	10593
524	11684	10571
525	11706	10548
526	11730	10528
527	11752	10506
528	11775	10484
529	11798	10462
530	11819	10439
531	11841	10417
532	11861	10392
533	11885	10371
534	11907	10349
535	11948	10343
536	11969	10319
537	11991	10297
538	12016	10277
539	12041	10257
540	12063	10235
541	12085	10212
542	12108	10190
543	12131	10169
544	12152	10145
545	12176	10124
546	12199	10102
547	12221	10080
548	12243	10057
549	12265	10035
550	12288	10013
551	12327	10005
552	12349	9982
553	12372	9960
554	12395	9939
555	12419	9917
556	12442	9895
557	12463	9872
558	12486	9850
559	12508	9827
560	12530	9805
561	12550	9781
562	12574	9760
563	12596	9737
564	12618	9715
565	12640	9692
566	12664	9671
567	12686	9649
568	12708	9626
569	12729	9603
570	12753	9582
571	12774	9558
572	12796	9535
573	12817	9512
574	12842	9492
575	12864	9469
576	12886	9447
577	12908	9424
578	12931	9402
579	12954	9381
580	12979	9360
581	13003	9339
582	13025	9317
583	13049	9295
584	13078	9278
585	13102	9256
586	13124	9234
587	13146	9211
588	13168	9189
589	13191	9166
590	13214	9144
591	13236	9122
592	13260	9100
593	13283	9079
594	13305	9056
595	13327	9034
596	13350	9012
597	13371	8988
598	13396	8968
599	13420	8946
600	13441	8923
601	13461	8899
602	13482	8876
603	13506	8854
604	13528	8832
605	13549	8809
606	13571	8787
607	13593	8764
608	13615	8741
609	13636	8718
610	13659	8696
611	13684	8675
612	13708	8654
613	13729	8631
614	13753	8610
615	13775	8587
616	13798	8565
617	13822	8543
618	13844	8521
619	13865	8497
620	13886	8474
621	13909	8452
622	13932	8431
623	13954	8408
624	13978	8386
625	13999	8364
626	14021	8341
627	14043	8318
628	14066	8296
629	14088	8274
630	14112	8252
631	14134	8230
632	14155	8207
633	14178	8185
634	14201	8163
635	14225	8141
636	14248	8119
637	14275	8099
638	14305	8081
639	14327	8059
640	14351	8037
641	14375	8015
642	14396	7993
643	14418	7970
644	14439	7947
645	14464	7926
646	14486	7903
647	14507	7880
648	14530	7858
649	14550	7834
650	14572	7812
651	14595	7790
652	14617	7767
653	14640	7745
654	14664	7723
655	14684	7700
656	14706	7678
657	14729	7655
658	14751	7633
659	14774	7611
660	14794	7587
661	14816	7564
662	14836	7541
663	14862	7520
664	14888	7500
665	14909	7477
666	14932	7455
667	14952	7431
668	14977	7410
669	15001	7388
670	15024	7366
671	15047	7344
672	15068	7321
673	15091	7299
674	15112	7276
675	15132	7252
676	15153	7229
677	15175	7207
678	15198	7185
679	15220	7162
680	15241	7139
681	15264	7117
682	15287	7095
683	15314	7075
684	15337	7053
685	15359	7030
686	15382	7008
687	15405	6986
688	15428	6964
689	15449	6941
690	15470	6918
691	15493	6895
692	15514	6873
693	15535	6849
694	15556	6826
695	15577	6804
696	15599	6781
697	15622	6759
698	15642	6736
699	15665	6713
700	15691	6692
701	15715	6671
702	15738	6649
703	15761	6627
704	15782	6604
705	15805	6581
706	15830	6560
707	15852	6538
708	15874	6515
709	15900	6494
710	15927	6473
711	15952	6452
712	15974	6430
713	16008	6412
714	16032	6390
715	16056	6368
716	16081	6347
717	16102	6324
718	16135	6306
719	16157	6283
720	16180	6261
721	16203	6238
722	16226	6216
723	16247	6193
724	16268	6170
725	16290	6148
726	16314	6126
727	16338	6104
728	16360	6081
729	16383	6059
730	16407	6037
731	16428	6014
732	16450	5992
733	16472	5969
734	16495	5947
735	16517	5924
736	16537	5901
737	16561	5879
738	16582	5856
739	16605	5834
740	16627	5811
741	16648	5788
742	16673	5767
743	16696	5745
744	16721	5723
745	16744	5701
746	16765	5678
747	16786	5655
748	16809	5633
749	16831	5610
750	16855	5588
751	16877	5565
752	16899	5543
753	16922	5521
754	16946	5499
755	16969	5476
756	16992	5454
757	17014	5431
758	17036	5409
759	17059	5387
760	17080	5364
761	17106	5343
762	17135	5322
763	17157	5300
764	17179	5277
765	17202	5255
766	17226	5233
767	17251	5211
768	17274	5188
769	17298	5166
770	17320	5144
771	17341	5121
772	17364	5099
773	17386	5076
774	17413	5055
775	17439	5034
776	17464	5012
777	17491	4991
778	17517	4969
779	17544	4948
780	17568	4926
781	17590	4903
782	17612	4881
783	17633	4858
784	17658	4836
785	17679	4813
786	17701	4790
787	17723	4768
788	17745	4745
789	17769	4723
790	17790	4700
791	17812	4678
792	17835	4655
793	17857	4632
794	17879	4610
795	17902	4588
796	17922	4565
797	17945	4542
798	17966	4519
