iter	Logloss
0	0.6813316783
1	0.6713015537
2	0.6608993671
3	0.6515256875
4	0.6410298891
5	0.6315052532
6	0.6224008466
7	0.6139491493
8	0.6054802035
9	0.5981278105
10	0.5912943525
11	0.5866793415
12	0.580359837
13	0.5744202409
14	0.5681538186
15	0.5608505797
16	0.5539512306
17	0.5482386991
18	0.5420431999
19	0.5362970573
20	0.5318659826
21	0.5263074351
22	0.5218547121
23	0.51741878
24	0.5132595838
25	0.5095824086
26	0.5058802782
27	0.5019612046
28	0.4983967792
29	0.4948602622
30	0.4912026358
31	0.4878513033
32	0.4846510933
33	0.4815439898
34	0.4788064855
35	0.4763137282
36	0.473945458
37	0.4714887051
38	0.4689874784
39	0.4665804292
40	0.4645079352
41	0.4624483209
42	0.4603781077
43	0.4586176998
44	0.4568034002
45	0.4549629043
46	0.4533317664
47	0.4516968827
48	0.4501678222
49	0.4487820388
50	0.4472917047
51	0.4458244962
52	0.4445859415
53	0.4434136112
54	0.4420630325
55	0.4405426215
56	0.4392636119
57	0.4378339947
58	0.436622092
59	0.4356663435
60	0.4348626384
61	0.4337847036
62	0.4327019194
63	0.4316181096
64	0.4309598105
65	0.4306386976
66	0.4296022059
67	0.4286372267
68	0.4283164908
69	0.4274003606
70	0.4265458661
71	0.4257359258
72	0.4250098592
73	0.4247391724
74	0.4243792759
75	0.4239735903
76	0.4231544578
77	0.4223020622
78	0.4216166184
79	0.4214414412
80	0.4207706565
81	0.4202157788
82	0.4199220044
83	0.4195149727
84	0.4189676692
85	0.4182515456
86	0.4176412281
87	0.4172064284
88	0.4166591354
89	0.4165574786
90	0.416137818
91	0.4158048633
92	0.4152047904
93	0.41459105
94	0.4142092041
95	0.4139738792
96	0.4135760509
97	0.413281562
98	0.4127348984
99	0.4122871344
100	0.4119475308
101	0.4116200587
102	0.4112746856
103	0.4109716043
104	0.4106294615
105	0.4103569184
106	0.4098970799
107	0.4095820205
108	0.4092485982
109	0.4091779865
110	0.4087345231
111	0.4084699684
112	0.4082793639
113	0.4079236692
114	0.4076887027
115	0.4071654832
116	0.406852941
117	0.4064156425
118	0.4062080505
119	0.4058880097
120	0.4055567952
121	0.405194599
122	0.4048658541
123	0.4048203272
124	0.4045163426
125	0.4042615404
126	0.4039783104
127	0.4037787149
128	0.4036403635
129	0.4033004309
130	0.4030494076
131	0.4027464897
132	0.4023744309
133	0.4021448354
134	0.4019426115
135	0.4017643912
136	0.4017263655
137	0.4014202363
138	0.4009805265
139	0.4008997285
140	0.4007720657
141	0.4004317348
142	0.4003604372
143	0.400316908
144	0.4003144645
145	0.4001436502
146	0.3999591538
147	0.3996704502
148	0.3995267034
149	0.399307177
150	0.3989921001
151	0.3988841447
152	0.3987751082
153	0.3985654419
154	0.3985200167
155	0.3982174542
156	0.3980624614
157	0.3976237365
158	0.3974059777
159	0.3972135276
160	0.3970596963
161	0.3968396809
162	0.3966719907
163	0.3966471727
164	0.3965690994
165	0.3964464643
166	0.3962926817
167	0.3961609645
168	0.3960234559
169	0.3960117716
170	0.3958033934
171	0.395691632
172	0.3955947027
173	0.3953483054
174	0.3952310705
175	0.3950167639
176	0.3948455105
177	0.3945059269
178	0.3944044176
179	0.3942977172
180	0.3942059183
181	0.3941746474
182	0.3941320345
183	0.3939742402
184	0.3939468747
185	0.3938657017
186	0.3938041029
187	0.3936673922
188	0.3935126114
189	0.3934614542
190	0.3933272261
191	0.3931750319
192	0.3930793259
193	0.3930159586
194	0.3929761645
195	0.3928368128
196	0.3928163172
197	0.392739558
198	0.3925854851
199	0.3925572842
200	0.3925186226
201	0.3924592926
202	0.3923683774
203	0.3922897625
204	0.3922081268
205	0.3920164496
206	0.3919984482
207	0.3918104003
208	0.3917342388
209	0.3915847683
210	0.3914592271
211	0.3912200453
212	0.3910295845
213	0.3908761371
214	0.390767511
215	0.3907463954
216	0.3906948319
217	0.3903908958
218	0.3903688302
219	0.390223666
220	0.3899951339
221	0.3899609487
222	0.3898120203
223	0.3897758307
224	0.3897655743
225	0.3896347133
226	0.3893897758
227	0.3893765791
228	0.3893159735
229	0.3891872284
230	0.3891664968
231	0.3890194705
232	0.3889995016
233	0.3889120941
234	0.3887830392
235	0.3887548867
236	0.3886835968
237	0.3886230058
238	0.3885397389
239	0.3885351684
240	0.3884918688
241	0.3884568416
242	0.3884173737
243	0.3884147785
244	0.3883660341
245	0.3882207461
246	0.3881942152
247	0.3880839842
248	0.3880272732
249	0.3879657519
250	0.387923653
251	0.3879213542
252	0.387765193
253	0.3877102757
254	0.3876437987
255	0.3876347188
256	0.3875221872
257	0.3874412997
258	0.3874412978
259	0.3874328494
260	0.387307129
261	0.3872788948
262	0.3872788937
263	0.3872395047
264	0.3871677156
265	0.3871508474
266	0.387132102
267	0.3870504989
268	0.3870147885
269	0.3870147884
270	0.386920245
271	0.3869196565
272	0.3868826114
273	0.3867849066
274	0.3867757584
275	0.3867592601
276	0.3866566629
277	0.3866513587
278	0.3865685084
279	0.3865238272
280	0.3865238261
281	0.3864636819
282	0.3864317214
283	0.3863371689
284	0.3861745323
285	0.386098036
286	0.3859388702
287	0.3859237611
288	0.3858352796
289	0.385685042
290	0.3855397068
291	0.3855397058
292	0.3855397048
293	0.3854471236
294	0.3852885687
295	0.3851266022
296	0.3851044228
297	0.3850350911
298	0.3850026315
299	0.3850026163
300	0.3848423312
301	0.3845904838
302	0.3845487885
303	0.3845225951
304	0.3844475751
305	0.3843946606
306	0.3843944259
307	0.38435063
308	0.3842063655
309	0.3841973417
310	0.3841535163
311	0.384107403
312	0.384018854
313	0.3838840216
314	0.3838554541
315	0.3837991935
316	0.3836436978
317	0.3835643505
318	0.3835068209
319	0.3835068183
320	0.3835068158
321	0.383460708
322	0.3833463649
323	0.3832214722
324	0.383118275
325	0.3830501674
326	0.3830440841
327	0.3830253738
328	0.382948206
329	0.3827693673
330	0.3827684116
331	0.3827605397
332	0.3826077559
333	0.3825280264
334	0.382478405
335	0.3824541165
336	0.3824469123
337	0.3823564368
338	0.3822360805
339	0.3822173412
340	0.381943136
341	0.3818922927
342	0.3816868621
343	0.3816503098
344	0.381646199
345	0.3816442117
346	0.3816058042
347	0.381605803
348	0.3816029858
349	0.3816017203
350	0.3815845592
351	0.3814902373
352	0.3814009592
353	0.3813436344
354	0.3813390059
355	0.381315589
356	0.3813018771
357	0.3811312812
358	0.3810547536
359	0.3810370333
360	0.3809982286
361	0.3809417914
362	0.3808107312
363	0.3808009223
364	0.3806949076
365	0.380622079
366	0.3804874376
367	0.3804258323
368	0.3803250623
369	0.3803004515
370	0.3802219643
371	0.3801435493
372	0.3800618676
373	0.3799901539
374	0.3799427893
375	0.3798376143
376	0.3796982666
377	0.3796242995
378	0.3794637758
379	0.3793742196
380	0.3791759161
381	0.3791664885
382	0.3791409439
383	0.3791280104
384	0.3790745456
385	0.3789766253
386	0.3788703295
387	0.378780345
388	0.378645012
389	0.3785040933
390	0.3784565002
391	0.3784036647
392	0.3783577371
393	0.3783122982
394	0.378121066
395	0.3780253116
396	0.3779401734
397	0.3779343933
398	0.3778781874
399	0.3777613424
400	0.3776982352
401	0.3775030381
402	0.3773188753
403	0.3771846329
404	0.3771588215
405	0.3769943904
406	0.3769588198
407	0.3768138622
408	0.3768087682
409	0.3768057383
410	0.3766334194
411	0.3766254985
412	0.3765572013
413	0.3764383493
414	0.3763793864
415	0.3761580983
416	0.3761481358
417	0.3760570445
418	0.3759541779
419	0.3758978906
420	0.3758402833
421	0.3756872201
422	0.3754999435
423	0.3754287682
424	0.3753092556
425	0.3751207319
426	0.3750521137
427	0.3749178472
428	0.3749178187
429	0.374893785
430	0.3746884572
431	0.3746188376
432	0.3745987847
433	0.3743413041
434	0.3743083042
435	0.3742812207
436	0.3741952623
437	0.3740827931
438	0.3740779818
439	0.3740009108
440	0.3738186195
441	0.3738178411
442	0.3737029596
443	0.3736767571
444	0.3736559274
445	0.3735824997
446	0.3734724158
447	0.3734107469
448	0.3733278911
449	0.3732647389
450	0.3732414478
451	0.373123998
452	0.3730028825
453	0.3729466978
454	0.3727815821
455	0.3725948327
456	0.3724395449
457	0.3722550702
458	0.372250233
459	0.3721735693
460	0.3720411547
461	0.3719628787
462	0.3719025324
463	0.3718793323
464	0.3718278691
465	0.3718092371
466	0.3717300093
467	0.3715397147
468	0.3714835858
469	0.3712691236
470	0.371173024
471	0.37109895
472	0.3710596759
473	0.371059664
474	0.3710303448
475	0.3709813947
476	0.3709130805
477	0.3708549839
478	0.3707544565
479	0.3705986802
480	0.3705818691
481	0.3705032154
482	0.370444293
483	0.3703292583
484	0.370081625
485	0.3700618726
486	0.3699563447
487	0.3697568404
488	0.3696933076
489	0.3695823109
490	0.3694872493
491	0.3693292263
492	0.3691862269
493	0.3691513416
494	0.3690928017
495	0.3689868699
496	0.368913626
497	0.3688751667
498	0.3686475567
499	0.3686371393
500	0.3685321008
501	0.3684904754
502	0.3684042788
503	0.3681834102
504	0.3679967159
505	0.3679764092
506	0.3679532239
507	0.3678493674
508	0.3677375261
509	0.3676454451
510	0.3673452315
511	0.3671371289
512	0.3670230371
513	0.3669073247
514	0.3668655527
515	0.3668249554
516	0.3667489408
517	0.3667176235
518	0.3666468683
519	0.3665533827
520	0.3665148152
521	0.3663358565
522	0.3661895597
523	0.3661466315
524	0.3658934051
525	0.3657362782
526	0.3656329792
527	0.3655493455
528	0.3653972438
529	0.3653473539
530	0.3652965426
531	0.3652267921
532	0.3650476286
533	0.36481827
534	0.3647223604
535	0.3646785748
536	0.3646012715
537	0.3644823292
538	0.3642882609
539	0.3642189173
540	0.3641570367
541	0.3640665013
542	0.3639827506
543	0.36395746
544	0.3638543871
545	0.3637661091
546	0.3635834698
547	0.3635269128
548	0.3633090865
549	0.3632406607
550	0.3630290848
551	0.3628339257
552	0.3627611032
553	0.3626906062
554	0.362452386
555	0.3623451894
556	0.3622513754
557	0.3621419719
